Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
JR Hopes (AUS),2005-2010,12,7,2,105,30,21.00,98,107.14,0,0,0,7,1,
ND Laegsgaard (DEN),2019-2019,9,8,1,105,39,15.00,96,109.37,0,0,0,11,2,
M Mosehle (SA),2017-2017,7,6,1,105,36,21.00,65,161.53,0,0,0,6,9,
Suraj Kumar (OMAN),2019-2020,16,10,2,105,42*,13.12,94,111.70,0,0,0,9,3,
Meet Bhavsar (KUW),2019-2019,9,7,1,104,38,17.33,88,118.18,0,0,0,10,1,
HB Kayondo (UGA),2019-2021,4,4,0,104,31,26.00,98,106.12,0,0,0,6,4,
Nurul Hasan (BDESH),2016-2021,12,11,6,104,30*,20.80,80,130.00,0,0,1,11,1,
P Sarraf (NEPAL),2019-2020,12,11,2,104,27*,11.55,111,93.69,0,0,3,12,4,
Sultan Ahmed (OMAN),2015-2017,17,12,3,104,37*,11.55,83,125.30,0,0,3,14,0,
GP Swann (ENG),2008-2012,39,16,11,104,34,20.80,89,116.85,0,0,2,9,1,
I Liyanage (QAT),2020-2020,7,7,1,103,37*,17.16,98,105.10,0,0,1,10,4,
Abdul-Shakoor Rahimzei (GER),2019-2020,9,7,1,102,59,17.00,86,118.60,0,1,0,7,3,
SM Davies (ENG),2009-2011,5,5,0,102,33,20.40,82,124.39,0,0,0,12,0,
Rehman Abdul (ITA),2019-2019,7,5,3,102,37*,51.00,103,99.02,0,0,0,7,3,
DF Jacobs (THAI),2019-2020,8,8,0,101,28,12.62,149,67.78,0,0,1,12,2,
S Jora (NEPAL),2019-2019,6,6,1,101,53*,20.20,83,121.68,0,1,1,5,4,
AV Lalcheta (OMAN),2015-2019,17,10,2,101,20,12.62,82,123.17,0,0,0,9,4,
B Lee (AUS),2005-2012,25,12,6,101,43*,16.83,71,142.25,0,0,2,9,4,
Mohammed Nurji (MWI),2019-2019,6,5,3,101,36,50.50,59,171.18,0,0,0,8,6,
T Perera (Botsw),2019-2019,6,6,0,101,30,16.83,127,79.52,0,0,0,16,0,
V Shankar (INDIA),2018-2019,9,4,0,101,43,25.25,73,138.35,0,0,0,11,5,
K Waiswa (UGA),2020-2021,6,5,0,101,39,20.20,84,120.23,0,0,1,10,4,
S Dhaniram (CAN),2008-2010,11,9,0,100,26,11.11,123,81.30,0,0,0,6,2,
Hamza Tariq (CAN),2013-2019,15,11,1,100,33,10.00,82,121.95,0,0,2,4,5,
Hilal Ahmad (CZK-R),2019-2021,13,13,3,100,44*,10.00,139,71.94,0,0,2,4,0,
T Maruma (ZIM),2008-2019,13,13,4,100,23*,11.11,109,91.74,0,0,1,6,4,
BS Stephenson (Blz),2019-2019,3,3,0,100,48,33.33,72,138.88,0,0,0,9,7,
Ahmed Raza (UAE),2014-2020,41,16,7,99,22,11.00,130,76.15,0,0,2,2,4,
Aziz Mohammad (Belg),2019-2021,6,6,1,99,67,19.80,67,147.76,0,1,1,6,8,
BR Dunk (AUS),2014-2017,5,5,0,99,32,19.80,69,143.47,0,0,0,8,6,
Irfan Bhima (MWI),2019-2019,4,4,0,98,52,24.50,88,111.36,0,1,2,13,2,
S Thakur (ROM),2021-2021,3,3,2,98,55,98.00,71,138.02,0,1,0,14,1,
Amir Ali (OMAN),2015-2016,10,8,3,97,32*,19.40,65,149.23,0,0,0,11,2,
Mohammad Nadeem (OMAN),2015-2020,25,14,3,97,29,8.81,111,87.38,0,0,1,7,1,
Muhammad Kaleem (UAE),2016-2016,9,9,0,97,50,10.77,116,83.62,0,1,1,9,3,
AM Samad (CAN),2008-2010,7,6,0,97,29,16.16,88,110.22,0,0,1,8,4,
GM Strydom (Caym),2019-2019,6,6,0,97,49,16.16,89,108.98,0,0,2,6,5,
G Venkateswaran (LUX),2019-2021,5,5,1,97,59,24.25,90,107.77,0,1,0,11,1,
F Akankwasa (UGA),2020-2021,6,5,1,96,66,24.00,60,160.00,0,1,0,7,8,
RS Morton (WI),2006-2010,7,7,1,96,40,16.00,103,93.20,0,0,1,8,2,
ML Udawatte (SL),2008-2017,8,8,0,96,25,12.00,87,110.34,0,0,2,10,2,
MH Yardy (ENG),2006-2011,14,8,5,96,35*,32.00,72,133.33,0,0,3,9,1,
Z Hoque (THAI),2019-2020,7,7,1,95,23*,15.83,98,96.93,0,0,0,6,4,
RG Mukasa (UGA),2019-2021,9,9,0,95,26,10.55,133,71.42,0,0,0,5,3,
TM Odoyo (KENYA),2007-2013,11,10,0,95,22,9.50,119,79.83,0,0,1,6,2,
NS Poonia (SCOT),2007-2010,8,7,2,95,38*,19.00,108,87.96,0,0,2,3,1,
Asrar Ahmed (GRC),2019-2021,7,5,2,94,38,31.33,108,87.03,0,0,0,11,1,
Mehidy Hasan Miraz (BDESH),2017-2018,13,11,2,94,19*,10.44,80,117.50,0,0,2,7,4,
JH Stander (SCOT),2009-2012,11,11,2,94,45,10.44,90,104.44,0,0,3,6,4,
JJ Tucker (BMUDA),2019-2019,5,5,1,94,50*,23.50,97,96.90,0,1,0,11,1,
P Utseya (ZIM),2006-2015,35,21,9,94,13*,7.83,115,81.73,0,0,3,6,1,
J Cutinho (CRC),2019-2019,3,3,0,93,46,31.00,98,94.89,0,0,0,7,4,
Mohammad Amin (KUW),2019-2020,9,7,3,93,32,23.25,92,101.08,0,0,0,8,2,
Walid Ghauri (NOR),2019-2019,4,4,1,93,44*,31.00,80,116.25,0,0,0,10,2,
MC Sorensen (IRE),2012-2016,26,11,6,92,26,18.40,79,116.45,0,0,1,4,3,
D Wiese (SA),2013-2016,20,11,4,92,28,13.14,75,122.66,0,0,1,4,3,
Yasir Arafat (PAK),2007-2012,13,11,4,92,17,13.14,79,116.45,0,0,0,8,2,
SM Curran (ENG),2019-2021,16,10,5,91,24,18.20,57,159.64,0,0,0,6,6,
Raees Ahmadzai (AFG),2010-2010,8,6,3,91,33*,30.33,84,108.33,0,0,0,5,1,
Saeed Ajmal (PAK),2009-2015,64,23,12,91,21*,8.27,86,105.81,0,0,3,7,2,
CR Woakes (ENG),2011-2021,10,7,4,91,37,30.33,63,144.44,0,0,1,4,5,
GM Hamilton (SCOT),2007-2010,12,8,0,90,32,11.25,110,81.81,0,0,0,6,1,
JN Mohammed (WI),2017-2018,9,8,3,90,23*,18.00,103,87.37,0,0,1,9,1,
Sagar Pun (NEPAL),2014-2015,9,9,0,90,20,10.00,100,90.00,0,0,0,13,0,
DLS van Bunge (NL),2008-2013,14,12,4,90,24,11.25,104,86.53,0,0,2,2,3,
GH Worker (NZ),2015-2015,2,2,0,90,62,45.00,64,140.62,0,1,0,6,5,
S Adedeji (NGA),2019-2019,6,6,2,89,51*,22.25,114,78.07,0,1,1,5,2,
K Rabada (SA),2014-2021,32,12,8,89,22,22.25,74,120.27,0,0,2,9,3,
Sandeep Goud (OMAN),2019-2020,15,8,3,89,31*,17.80,90,98.88,0,0,0,4,3,
FH Allen (NZ),2021-2021,3,3,0,88,71,29.33,40,220.00,0,1,1,12,4,
A Ferguson (Arg),2019-2019,5,3,1,88,51,44.00,100,88.00,0,1,0,5,1,
N Madziva (ZIM),2015-2019,15,10,5,88,28*,17.60,80,110.00,0,0,1,4,5,
Md Shafiqul Haque (THAI),2019-2019,4,4,0,88,38,22.00,62,141.93,0,0,0,5,6,
Sazzad Hosen (Belg),2020-2021,6,6,0,88,34,14.66,88,100.00,0,0,0,11,0,
Zishan Shah (DEN),2019-2019,6,5,1,88,50,22.00,87,101.14,0,1,0,7,1,
PS Airee (NEPAL),2015-2019,11,11,0,87,29,7.90,93,93.54,0,0,4,10,1,
Mandeep Singh (INDIA),2016-2016,3,3,1,87,52*,43.50,73,119.17,0,1,0,11,1,
Raza Iqbal (NOR),2019-2019,5,5,0,87,39,17.40,89,97.75,0,0,0,13,0,
AJ Turner (AUS),2017-2021,13,9,3,87,24,14.50,89,97.75,0,0,1,3,2,
DI Allan (KENYA),2012-2013,10,10,0,86,18,8.60,135,63.70,0,0,0,7,0,
AR Gandhi (KENYA),2019-2019,3,3,1,86,50,43.00,98,87.75,0,1,0,5,1,
GJ Hopkins (NZ),2007-2010,10,8,0,86,36,10.75,71,121.12,0,0,0,5,5,
SM Pollock (SA),2005-2008,12,9,2,86,36*,12.28,70,122.85,0,0,3,4,4,
Shamsur Rahman (BDESH),2013-2014,9,8,0,86,53,10.75,85,101.17,0,1,2,12,1,
T Marumani (ZIM),2021-2021,6,6,0,85,35,14.16,78,108.97,0,0,1,7,3,
DP Michael (Samoa),2019-2019,4,4,1,85,55*,28.33,82,103.65,0,1,1,1,6,
AR Nurse (WI),2011-2019,13,8,6,85,20*,42.50,71,119.71,0,0,0,7,3,
MD Patel (USA),2019-2019,8,8,1,85,26,12.14,88,96.59,0,0,0,6,4,
RML Taylor (SCOT),2013-2016,9,6,3,85,41*,28.33,58,146.55,0,0,0,6,4,
KNA Bandara (SL),2021-2021,4,4,1,84,44*,28.00,79,106.32,0,0,0,4,3,
Ijaz Hussain (ROM),2019-2021,8,5,0,84,40,16.80,83,101.20,0,0,0,7,6,
N Khosla (MLT),2019-2019,4,4,0,84,27,21.00,95,88.42,0,0,0,3,2,
D Myers (ZIM),2021-2021,3,3,0,84,35,28.00,64,131.25,0,0,0,7,1,
IO Okpe (NGA),2019-2019,8,8,0,84,19,10.50,109,77.06,0,0,0,2,2,
JH Davey (SCOT),2012-2019,21,10,5,83,24,16.60,63,131.74,0,0,0,5,3,
PF Gallagher (Fin),2019-2019,3,3,0,83,36,27.66,68,122.05,0,0,0,4,5,
JK Kamande (KENYA),2007-2010,12,9,0,83,42,9.22,92,90.21,0,0,2,5,3,
Manpreet Singh (ITA),2019-2019,8,6,0,83,36,13.83,98,84.69,0,0,0,10,1,
FA Cossa (Moz),2019-2019,6,6,2,82,19*,20.50,90,91.11,0,0,0,6,4,
AS Hansra (CAN),2012-2013,8,8,2,82,30,13.66,85,96.47,0,0,0,4,3,
AK Mohan (Fin),2019-2019,5,5,0,82,41,16.40,72,113.88,0,0,1,9,1,
Muhammad Awais (GRC),2019-2019,3,3,2,82,42*,82.00,59,138.98,0,0,0,12,1,
TD Paine (AUS/World),2009-2017,12,9,1,82,25,10.25,77,106.49,0,0,2,7,3,
Shaikh Ashraf (Peru),2019-2019,4,4,0,82,38,20.50,67,122.38,0,0,0,8,3,
RM Siri (Arg),2019-2019,4,4,1,82,49*,27.33,80,102.50,0,0,1,6,1,
Aaron Jones (USA),2019-2019,8,7,3,81,39,20.25,81,100.00,0,0,0,3,2,
MO Jones (BMUDA),2019-2019,8,7,2,81,27,16.20,83,97.59,0,0,0,5,3,
Mohamed Azzam (Mald),2019-2020,10,9,2,81,17*,11.57,86,94.18,0,0,1,8,0,
P Nissanka (SL),2021-2021,4,3,0,81,39,27.00,70,115.71,0,0,0,8,2,
Ahsan Abbasi (HKG),2019-2019,6,6,0,80,18,13.33,87,91.95,0,0,0,7,2,
Bilal Tahir (KUW),2019-2020,7,7,1,80,34*,13.33,64,125.00,0,0,2,9,2,
K Birkenstock (NAM),2019-2021,6,3,0,80,59,26.66,44,181.81,0,1,0,9,4,
DAP Darrell (BMUDA),2019-2019,11,10,1,80,30*,8.88,95,84.21,0,0,1,1,5,
Faizan Asif (UAE),2014-2015,6,6,0,80,28,13.33,64,125.00,0,0,0,9,3,
Ishan Kishan (INDIA),2021-2021,3,3,1,80,56,40.00,55,145.45,0,1,0,6,5,
Kuldeep Lal (ESP),2019-2020,10,4,0,80,38,20.00,57,140.35,0,0,0,6,2,
RK Paudel (NEPAL),2019-2019,11,10,2,80,19,10.00,89,89.88,0,0,0,7,0,
CP Rizwan (UAE),2019-2019,5,4,0,80,44,20.00,73,109.58,0,0,0,10,1,
WAE Burton (SRB),2021-2021,4,4,0,79,22,19.75,54,146.29,0,0,0,12,2,
ZE Green (NAM),2019-2019,16,11,3,79,18*,9.87,78,101.28,0,0,1,4,3,
SC Kuggeleijn (NZ),2019-2020,16,8,4,79,35*,19.75,37,213.51,0,0,2,5,7,
CD Barnwell (WI),2011-2013,6,6,2,78,34*,19.50,62,125.80,0,0,1,4,4,
Sahir Naqash (GER),2019-2020,8,6,1,78,38*,15.60,62,125.80,0,0,2,2,5,
GG Banner (Blz),2019-2019,3,3,1,77,47,38.50,65,118.46,0,0,0,1,8,
SA Wijeyeratne (CAN),2019-2019,2,2,0,77,56,38.50,51,150.98,0,1,0,12,0,
A Flintoff (ENG),2005-2007,7,7,1,76,31,12.66,60,126.66,0,0,1,7,2,
DR Hooper (GUE),2019-2019,9,8,3,76,19*,15.20,91,83.51,0,0,1,3,1,
Imran Farhat (PAK),2010-2011,7,7,0,76,19,10.85,70,108.57,0,0,1,14,0,
Irfan Ahmed (HKG),2014-2015,8,8,0,76,34,9.50,83,91.56,0,0,2,4,6,
NFI McCallum (SCOT),2007-2010,11,7,0,76,38,10.85,85,89.41,0,0,3,7,1,
S Matsikenyeri (ZIM),2006-2012,10,10,0,76,32,7.60,82,92.68,0,0,2,6,3,
C Munoz-Mills (ESP),2019-2020,11,8,4,76,29*,19.00,71,107.04,0,0,0,5,3,
Rizwan Mahmood (DEN),2019-2019,5,4,0,76,37,19.00,61,124.59,0,0,0,3,3,
IS Sodhi (NZ),2014-2021,57,10,4,76,16*,12.66,70,108.57,0,0,2,4,5,
VS Solanki (ENG),2005-2007,3,3,0,76,43,25.33,61,124.59,0,0,0,10,1,
AJ Tye (AUS),2016-2021,29,12,5,76,20,10.85,63,120.63,0,0,2,5,4,
NR Kirton (CAN),2019-2019,5,5,2,75,37*,25.00,83,90.36,0,0,0,4,1,
AR Patel (INDIA),2015-2021,12,8,4,75,20*,18.75,57,131.57,0,0,0,4,3,
NJ Astle (NZ),2005-2006,4,4,1,74,40*,24.66,67,110.44,0,0,0,7,2,
Hirenkumar Patel (Chile),2019-2019,4,4,0,74,22,18.50,82,90.24,0,0,0,9,1,
S Hirugade (Mex),2019-2019,6,6,0,74,35,12.33,86,86.04,0,0,1,8,2,
N Khanna (MLT),2019-2021,7,7,1,74,35*,12.33,63,117.46,0,0,0,8,1,
KO Otieno (KENYA),2008-2008,4,4,0,74,40,18.50,79,93.67,0,0,0,5,2,
SI Runsewe (NGA),2019-2019,6,6,1,74,27,14.80,87,85.05,0,0,1,4,0,
J Vira (VAN),2019-2019,14,12,4,74,23,9.25,68,108.82,0,0,1,7,2,
NT Broom (NZ),2009-2017,11,7,1,73,36,12.16,68,107.35,0,0,0,8,1,
TS Fray (BMUDA),2019-2019,10,10,1,73,29,8.11,96,76.04,0,0,3,9,0,
Khalid Ahmadi (Belg),2020-2021,9,6,4,73,31*,36.50,37,197.29,0,0,0,9,3,
Khurram Khan (UAE),2014-2014,3,3,0,73,31,24.33,73,100.00,0,0,0,8,0,
AR McBrine (IRE),2014-2017,19,11,5,73,14*,12.16,70,104.28,0,0,1,6,1,
AM Oyede (NGA),2019-2019,8,8,1,73,39,10.42,104,70.19,0,0,2,5,1,
AJ Strauss (ENG),2005-2009,4,4,0,73,33,18.25,64,114.06,0,0,1,9,0,
RA Thomas (CAN),2019-2019,8,8,1,73,18,10.42,95,76.84,0,0,1,7,1,
Yousef Shadzehisarjou (Iran),2020-2020,3,3,0,73,39,24.33,106,68.86,0,0,0,9,0,
Farhad Reza (BDESH),2006-2014,13,9,0,72,19,8.00,88,81.81,0,0,1,4,2,
BJ McCarthy (IRE),2017-2021,12,8,4,72,30*,18.00,57,126.31,0,0,4,5,3,
A Pusthay (Fin),2019-2019,5,5,0,72,37,14.40,60,120.00,0,0,0,5,1,
S Tosic (SRB),2021-2021,4,4,1,72,38*,24.00,136,52.94,0,0,0,5,0,
AS Wright (GUE),2019-2019,8,7,0,72,43,10.28,84,85.71,0,0,1,6,3,
RB Patel (UGA),2021-2021,3,3,2,71,35*,71.00,70,101.42,0,0,0,7,0,
T Taylor (Caym),2019-2019,6,6,2,71,19*,17.75,91,78.02,0,0,0,2,5,
Abdul Hashmi (DEN),2019-2019,8,5,1,70,31,17.50,66,106.06,0,0,1,4,0,
Awais Zia (PAK),2012-2014,5,5,0,70,23,14.00,80,87.50,0,0,0,4,3,
Mohammad Nawaz (3) (PAK),2016-2021,24,9,3,70,25*,11.66,70,100.00,0,0,2,4,3,
FF Mulivai (Samoa),2019-2019,4,4,0,70,48,17.50,37,189.18,0,0,1,2,8,
DM Nakrani (UGA),2019-2021,7,7,1,70,19,11.66,76,92.10,0,0,0,3,4,
V Saini (ROM),2020-2021,8,4,1,70,44*,23.33,44,159.09,0,0,0,2,4,
DT Christian (AUS),2010-2021,20,11,5,69,22*,11.50,65,106.15,0,0,1,5,1,
Hafez Farooq (Peru),2019-2019,4,4,0,69,24,17.25,67,102.98,0,0,0,7,2,
C Hauptfleisch (Caym),2019-2019,5,5,0,69,42,13.80,85,81.17,0,0,1,4,2,
Ibrarul Haq (Saudi),2019-2019,5,4,0,69,49,17.25,47,146.80,0,0,1,6,4,
SM Katich (AUS),2005-2006,3,2,0,69,39,34.50,47,146.80,0,0,0,8,2,
TB Sole (SCOT),2019-2019,9,6,2,69,33*,17.25,43,160.46,0,0,0,9,1,
SN Thakur (INDIA),2018-2021,22,5,3,69,22*,34.50,35,197.14,0,0,1,5,4,
J Umanath (Mex),2019-2019,7,7,1,69,25,11.50,77,89.61,0,0,1,7,2,
R Ankad (Mex),2019-2019,8,7,3,68,40*,17.00,72,94.44,0,0,2,7,0,
AG Cremer (ZIM),2008-2018,29,19,6,68,17,5.23,102,66.66,0,0,2,2,0,
Dawlat Zadran (AFG),2012-2019,34,17,8,68,13,7.55,42,161.90,0,0,3,4,6,
TM Dowlin (WI),2009-2010,2,2,1,68,37*,68.00,69,98.55,0,0,0,8,0,
R Escobar (Arg),2019-2019,5,4,1,68,28*,22.66,76,89.47,0,0,0,6,1,
Sikander Zulfiqar (NL),2016-2019,11,8,1,68,18,9.71,68,100.00,0,0,0,5,0,
JNT Vare (PNG),2015-2017,8,7,0,68,38,9.71,71,95.77,0,0,0,4,0,
C Viljoen (NAM),2019-2019,12,7,3,68,33,17.00,70,97.14,0,0,0,7,1,
AJ Michael (Samoa),2019-2019,4,4,1,67,23,22.33,69,97.10,0,0,0,5,2,
Shahil Momin (Aut),2021-2021,3,3,0,67,61,22.33,55,121.81,0,1,0,6,0,
WA Young (NZ),2021-2021,3,2,0,67,53,33.50,47,142.55,0,1,0,2,5,
Zawar Farid (UAE),2019-2019,4,4,0,67,55,16.75,53,126.41,0,1,0,5,3,
Abraash Khan (CAN),2019-2019,7,4,0,66,22,16.50,60,110.00,0,0,0,7,1,
Fitri Sham (MAL),2019-2021,24,14,5,66,15*,7.33,76,86.84,0,0,0,2,3,
PHKD Mendis (SL),2018-2019,4,4,0,66,41,16.50,46,143.47,0,0,1,6,3,
Shahbaz Badar (BHR),2019-2020,5,5,0,66,24,13.20,72,91.66,0,0,1,9,0,
J Bulele (Moz),2019-2019,7,7,0,65,24,9.28,95,68.42,0,0,1,8,0,
Shoaib Khan jnr (PAK),2008-2008,4,4,0,65,50,16.25,74,87.83,0,1,1,7,0,
Abdul Shakoor (ROM),2019-2021,7,5,2,64,31*,21.33,60,106.66,0,0,1,6,1,
Abdul Waheed (Saudi),2020-2020,3,3,1,64,41*,32.00,40,160.00,0,0,0,11,2,
Anique Uddin (DEN),2019-2019,6,6,0,64,31,10.66,79,81.01,0,0,0,3,0,
Ansar Iqbal (NOR),2019-2019,4,4,0,64,40,16.00,72,88.88,0,0,0,6,1,
M Bhanuka (SL),2019-2021,5,4,0,64,36,16.00,66,96.96,0,0,1,7,0,
TK Curran (ENG),2017-2021,30,13,7,64,14*,10.66,56,114.28,0,0,0,1,4,
RM Haq (SCOT),2007-2013,21,12,7,64,21*,12.80,96,66.66,0,0,1,2,1,
DP Hyatt (WI),2011-2012,5,5,1,64,28,16.00,54,118.51,0,0,0,4,4,
A Natubhai Ahir (PNM),2019-2019,3,3,0,64,30,21.33,59,108.47,0,0,0,10,1,
WB Rankin (ENG/IRE),2009-2020,50,15,8,64,16*,9.14,74,86.48,0,0,2,3,3,
DJ Reekers (NL),2008-2009,6,5,0,64,29,12.80,49,130.61,0,0,1,10,2,
Sadeeq Khan (ROM),2019-2019,3,3,1,64,28,32.00,42,152.38,0,0,0,3,6,
Usman Waheed (KUW),2019-2019,6,4,1,64,28*,21.33,61,104.91,0,0,1,6,1,
N Wijesekera (Aut),2021-2021,4,4,0,64,28,16.00,57,112.28,0,0,0,4,1,
V Balakrishnan (Botsw),2019-2019,3,3,1,63,29*,31.50,82,76.82,0,0,0,6,1,
LJ Barker (GUE),2019-2020,10,8,0,63,20,7.87,69,91.30,0,0,3,8,0,
Imran Ismail (Moz),2019-2019,7,7,0,63,17,9.00,58,108.62,0,0,0,7,3,
Sultan Ahmed (UAE),2017-2020,22,13,5,63,18,7.87,61,103.27,0,0,4,1,4,
MD du Preez (NAM),2021-2021,3,2,2,62,33*,-,58,106.89,0,0,0,5,1,
K Joshi (Aut),2019-2021,8,5,2,62,32*,20.66,69,89.85,0,0,0,4,2,
AN Cook (ENG),2007-2009,4,4,0,61,26,15.25,54,112.96,0,0,0,10,0,
A Dananjaya (SL),2012-2021,30,15,7,61,11*,7.62,71,85.91,0,0,2,6,0,
OD Hald (DEN),2019-2019,9,8,1,61,18,8.71,57,107.01,0,0,1,4,2,
PD McGlashan (NZ),2006-2010,11,9,1,61,26,7.62,64,95.31,0,0,0,6,2,
R Nehonde (Botsw),2019-2019,7,7,1,61,26,10.16,79,77.21,0,0,1,3,1,
NM Odhiambo (KENYA),2010-2019,16,8,2,61,26,10.16,94,64.89,0,0,2,4,1,
A Sathya (Mex),2019-2019,3,3,0,61,30,20.33,61,100.00,0,0,0,3,2,
PH Shamdasani (Peru),2019-2019,4,4,1,61,37,20.33,72,84.72,0,0,0,3,1,
DE Budge (SCOT),2018-2018,6,4,2,60,24,30.00,59,101.69,0,0,0,2,3,
JWM Dalrymple (ENG),2006-2007,3,3,0,60,32,20.00,57,105.26,0,0,0,6,0,
J Kila (PNG),2019-2019,12,5,3,60,27*,30.00,31,193.54,0,0,0,4,5,
Mohammad Adnan (Saudi),2019-2019,5,3,3,60,38*,-,31,193.54,0,0,0,4,5,
Mominul Haque (BDESH),2012-2014,6,4,1,60,26*,20.00,50,120.00,0,0,0,5,2,
P Mustard (ENG),2008-2008,2,2,0,60,40,30.00,37,162.16,0,0,0,5,4,
S Nadigotla (ROM),2019-2021,7,5,1,60,26,15.00,49,122.44,0,0,0,6,1,
Shamim Hossain (BDESH),2021-2021,2,2,1,60,31*,60.00,28,214.28,0,0,0,9,2,
Sherul Mehta (Belg),2020-2021,3,3,0,60,40,20.00,89,67.41,0,0,0,6,0,
Zameer Khan (DEN),2019-2019,2,2,1,60,33,60.00,61,98.36,0,0,0,4,0,
C Zavoiu (ROM),2019-2021,10,7,0,60,27,8.57,86,69.76,0,0,1,4,0,
Zeeshan Siddiqui (OMAN),2015-2015,5,5,1,60,33*,15.00,63,95.23,0,0,0,7,0,
Ariful Haque (BDESH),2018-2018,9,8,4,59,18*,14.75,61,96.72,0,0,1,4,0,
Bilal Muhammad (MLT),2021-2021,5,4,2,59,30*,29.50,34,173.52,0,0,0,4,3,
WJ Cope (LUX),2020-2021,8,7,4,59,38,19.66,41,143.90,0,0,0,9,0,
DR Flynn (NZ),2008-2012,5,5,0,59,23,11.80,51,115.68,0,0,0,1,4,
JN Frylinck (NAM),2019-2021,17,8,5,59,19*,19.66,52,113.46,0,0,1,4,1,
Hayatullah Niazi (NOR),2019-2019,4,4,1,59,27,19.66,47,125.53,0,0,0,3,3,
Mohammad Amir (PAK),2009-2020,50,14,6,59,21*,7.37,72,81.94,0,0,2,2,3,
Muhammad Saleem (),2019-2019,4,4,0,59,52,14.75,54,109.25,0,1,0,5,1,
AK Perera (SL),2013-2019,6,5,0,59,16,11.80,65,90.76,0,0,0,5,1,
Aamer Ikram (PORT),2019-2019,4,4,0,58,23,14.50,73,79.45,0,0,0,4,4,
Abu Hider (BDESH),2016-2018,13,5,4,58,22*,58.00,43,134.88,0,0,0,5,4,
D Heyliger (CAN),2019-2019,11,7,5,58,23*,29.00,42,138.09,0,0,1,2,3,
JJ Huo (Moz),2019-2019,7,7,0,58,18,8.28,61,95.08,0,0,1,7,2,
AU Rashid (ENG),2009-2021,62,21,12,58,9*,6.44,73,79.45,0,0,0,4,0,
CJO Smith (SCOT),2007-2009,8,6,1,58,46*,11.60,54,107.40,0,0,3,6,0,
Alok Kapali (BDESH),2007-2011,7,7,2,57,19,11.40,85,67.05,0,0,2,3,1,
Fayyaz Butt (OMAN),2019-2019,14,6,4,57,25*,28.50,48,118.75,0,0,0,4,2,
C Jonker (SA),2018-2018,2,2,0,57,49,28.50,29,196.55,0,0,0,5,3,
A Makesh (KUW),2019-2019,4,2,1,57,57,57.00,41,139.02,0,1,0,3,4,
GP Meade (ITA),2019-2019,8,5,0,57,18,11.40,63,90.47,0,0,0,4,1,
Ravinder Singh (MLT),2019-2021,7,4,0,57,34,14.25,50,114.00,0,0,0,3,3,
A Sarma (GER),2019-2020,4,3,0,57,28,19.00,67,85.07,0,0,0,3,1,
Sohag Gazi (BDESH),2012-2015,10,7,3,57,24,14.25,59,96.61,0,0,0,3,1,
Amjad Sher (Fin),2019-2019,5,5,0,56,24,11.20,36,155.55,0,0,0,1,4,
M Dixit (LUX),2019-2021,8,3,0,56,38,18.66,62,90.32,0,0,0,6,2,
JM How (NZ),2007-2008,5,5,0,56,31,11.20,67,83.58,0,0,0,5,1,
P Manning (Caym),2019-2019,6,6,1,56,28,11.20,89,62.92,0,0,1,4,0,
MJ Ross (ITA),2019-2019,8,5,1,56,34,14.00,42,133.33,0,0,0,2,3,
SMSM Senanayake (SL),2012-2016,24,12,6,56,17,9.33,66,84.84,0,0,2,3,1,
D Ajekun (NGA),2019-2019,6,6,0,55,17,9.16,81,67.90,0,0,0,6,1,
C Carter (HKG),2015-2017,10,5,1,55,17,13.75,63,87.30,0,0,0,3,0,
N Deonarine (WI),2010-2013,8,7,2,55,36*,11.00,53,103.77,0,0,3,5,0,
GB Hogg (AUS),2006-2014,15,4,0,55,41,13.75,39,141.02,0,0,0,3,3,
B Ivanov (BUL),2019-2021,10,6,3,55,21*,18.33,88,62.50,0,0,1,4,1,
S Jamil (Belg),2019-2021,9,8,1,55,24,7.85,71,77.46,0,0,3,6,2,
KM Jarvis (ZIM),2011-2019,22,12,5,55,27,7.85,64,85.93,0,0,4,1,4,
OE Newey (GUE),2019-2019,7,6,1,55,23*,11.00,66,83.33,0,0,1,2,0,
Arsalan Ahmed (GRC),2019-2021,7,5,0,54,22,10.80,47,114.89,0,0,0,9,1,
HS Baidwan (CAN),2008-2013,17,11,2,54,21,6.00,52,103.84,0,0,4,4,1,
JW Chilia (VAN),2019-2019,14,7,4,54,23,18.00,54,100.00,0,0,0,3,3,
GD Drummond (SCOT),2008-2013,17,7,0,54,35,7.71,65,83.07,0,0,2,3,0,
JSE Dunford (JER),2019-2019,17,9,3,54,29,9.00,67,80.59,0,0,3,2,0,
MSS Mandy (Chile),2019-2019,4,4,0,54,32,13.50,67,80.59,0,0,0,8,0,
Murid Ekrami (Belg),2019-2021,11,7,2,54,28,10.80,60,90.00,0,0,0,2,1,
SMA Priyanjan (SL),2017-2017,3,3,2,54,40*,54.00,62,87.09,0,0,0,1,2,
DR Sams (AUS),2020-2021,4,4,2,54,41,27.00,23,234.78,0,0,0,4,4,
Aphsal Ashraf (KUW),2020-2020,5,3,1,53,45*,26.50,32,165.62,0,0,0,1,5,
Arsalan Arif (Aut),2019-2021,2,2,1,53,27,53.00,39,135.89,0,0,0,9,0,
Usman Limbada (CAN),2010-2013,7,3,2,53,21*,53.00,41,129.26,0,0,0,6,0,
